req_id,output_len,ttft_ms,tpot_ms,decode_time_ms,e2e_latency_ms
441,982,135.11,25.76,25294.98,25430.09
442,907,99.41,25.54,23165.79,23265.20
443,996,94.51,25.75,25646.37,25740.88
444,903,135.54,25.75,23251.20,23386.75
445,933,131.60,25.81,24080.21,24211.81
446,828,94.88,25.88,21430.24,21525.12
447,951,94.41,25.80,24532.89,24627.30
448,996,851.69,25.34,25243.18,26094.87
449,843,229.74,26.37,22229.79,22459.52
450,913,163.62,26.12,23843.20,24006.82
451,949,98.36,26.26,24924.35,25022.71
452,902,94.05,26.16,23597.57,23691.62
453,950,101.91,26.20,24894.31,24996.22
454,896,111.59,26.13,23414.47,23526.05
455,830,94.12,26.25,21785.89,21880.00
456,960,100.86,26.30,25244.15,25345.01
457,900,100.09,26.23,23606.84,23706.93
458,973,103.29,26.35,25641.73,25745.02
459,1017,158.09,26.76,27218.42,27376.51
460,994,134.05,26.49,26327.59,26461.64
461,917,97.84,25.98,23825.12,23922.96
462,840,99.73,25.99,21833.12,21932.85
463,967,150.25,26.08,25223.56,25373.80
464,989,131.31,26.42,26132.09,26263.40
465,941,97.46,26.01,24478.10,24575.56
466,1004,95.74,26.87,26980.66,27076.39
467,964,99.15,26.58,25625.22,25724.36
468,920,97.00,26.03,23951.40,24048.40
469,1002,98.55,26.94,26993.12,27091.67
470,919,101.28,26.16,24041.88,24143.16
471,1015,97.18,26.92,27324.19,27421.37
472,930,99.83,26.37,24522.45,24622.28
473,830,143.09,25.49,21155.27,21298.36
474,916,171.61,26.13,23936.01,24107.62
475,966,169.11,26.72,25808.53,25977.63
476,931,101.62,26.37,24553.27,24654.89
477,830,97.93,25.42,21101.86,21199.79
478,844,102.04,25.43,21466.32,21568.36
479,916,99.88,26.31,24098.62,24198.49
480,914,136.05,26.21,23958.16,24094.21
481,864,136.24,25.55,22073.28,22209.52
482,825,102.49,25.21,20801.80,20904.29
483,908,99.53,26.34,23912.90,24012.43
484,907,95.61,26.28,23834.67,23930.27
485,857,122.98,25.69,22018.39,22141.37
486,870,101.41,25.90,22532.53,22633.94
487,835,135.77,25.32,21140.86,21276.63
488,970,140.33,26.20,25418.83,25559.16
489,822,100.22,25.16,20685.20,20785.42
490,909,100.66,26.15,23768.69,23869.35
491,993,136.06,26.10,25914.06,26050.12
492,941,159.03,26.01,24476.52,24635.55
493,976,100.96,26.01,25382.98,25483.94
494,821,96.00,25.81,21186.08,21282.08
495,952,100.67,26.10,24846.71,24947.37
496,940,97.84,26.09,24520.95,24618.79
497,1018,97.11,26.03,26499.70,26596.81
498,834,95.23,25.87,21578.73,21673.96
499,897,96.35,25.90,23230.42,23326.76
500,982,96.84,25.87,25408.27,25505.11
501,999,98.32,25.89,25868.31,25966.63
502,922,100.02,25.87,23852.38,23952.40
503,937,99.86,25.79,24169.57,24269.43
504,826,98.19,25.79,21301.09,21399.28
505,998,98.12,25.75,25701.93,25800.05
506,921,96.60,25.79,23748.62,23845.22
507,998,97.81,25.69,25641.22,25739.03
508,976,101.88,25.59,24976.42,25078.31
509,1002,100.99,25.65,25697.08,25798.07
510,932,100.42,25.79,24039.04,24139.46
511,958,94.49,25.72,24635.47,24729.97
512,1014,100.08,25.43,25781.73,25881.81
513,1024,96.95,25.83,26447.04,26543.99
514,941,97.67,25.61,24102.37,24200.04
515,874,100.14,25.66,22428.70,22528.84
516,907,97.36,25.63,23250.46,23347.82
517,887,97.22,25.53,22642.26,22739.48
518,936,93.49,25.56,23927.97,24021.47
519,934,98.62,25.56,23875.36,23973.98
520,1004,99.11,25.99,26098.33,26197.44
521,912,97.58,25.52,23269.94,23367.51
522,921,136.82,25.87,23826.77,23963.59
523,958,155.96,25.94,24853.97,25009.94
524,901,96.10,25.81,23252.69,23348.80
525,822,97.94,25.49,20954.42,21052.37
526,984,134.26,25.97,25550.35,25684.61
527,954,154.04,25.89,24697.79,24851.83
528,848,95.20,25.42,21558.87,21654.08
529,897,94.73,25.69,23042.03,23136.76
530,830,135.36,25.31,21009.17,21144.53
531,1020,134.91,26.18,26705.86,26840.77
532,830,97.59,25.36,21048.64,21146.23
533,835,95.49,25.41,21218.56,21314.05
534,879,142.04,25.45,22367.13,22509.16
535,942,196.94,25.62,24132.53,24329.47
536,922,126.18,25.52,23525.76,23651.94
537,1010,99.28,26.04,26303.49,26402.76
538,1006,134.30,26.02,26176.38,26310.68
539,948,158.45,25.66,24324.95,24483.39
540,965,95.28,25.59,24696.94,24792.22
541,1000,140.67,25.95,25954.04,26094.72
542,847,130.37,24.94,21120.05,21250.42
