index,timestamp_us,duration_us,type
18438,1073481606931.0,7.9,small
18439,1073481606984.9,19.1,big
18440,1073481607051.4,8.4,small
18441,1073481607095.5,32.3,big
18442,1073481607171.7,11.0,small
18443,1073481607225.9,19.8,big
18444,1073481607291.9,9.7,small
18445,1073481607358.3,9.2,small
18446,1073481607416.3,8.1,small
18447,1073481607478.2,14.4,small
18448,1073481607539.4,8.9,small
18449,1073481607598.7,20.2,big
18450,1073481607665.5,8.7,small
18451,1073481607714.3,24.0,big
18452,1073481607783.9,12.1,small
18453,1073481607846.7,13.8,small
18454,1073481607907.3,8.5,small
18455,1073481607979.3,8.3,small
18456,1073481608034.9,7.8,small
18457,1073481608093.0,18.9,big
18458,1073481608159.5,9.6,small
18459,1073481608219.3,23.1,big
18460,1073481608289.0,8.0,small
18461,1073481608343.8,16.5,big
18462,1073481608408.1,8.0,small
18463,1073481608456.6,30.9,big
18464,1073481608534.6,8.8,small
18465,1073481608602.0,12.4,small
18466,1073481608661.5,8.6,small
18467,1073481608717.8,21.1,big
18468,1073481608786.0,8.8,small
18469,1073481608851.6,8.1,small
18470,1073481608908.5,6.7,small
18471,1073481608965.6,19.6,big
18472,1073481609031.5,8.8,small
18473,1073481609100.6,7.9,small
18474,1073481609156.2,7.7,small
18475,1073481609213.9,16.4,big
18476,1073481609277.6,8.5,small
18477,1073481609323.8,28.3,big
18478,1073481609396.6,11.7,small
18479,1073481609463.4,16.4,big
18480,1073481609526.8,9.9,small
18481,1073481609593.1,9.2,small
18482,1073481609649.1,10.6,small
18483,1073481609709.9,18.6,big
18484,1073481609776.2,7.6,small
18485,1073481609838.2,12.6,small
18486,1073481609897.7,8.0,small
18487,1073481609942.4,35.9,big
18488,1073481610022.7,10.9,small
18489,1073481610079.7,22.9,big
18490,1073481610149.4,8.4,small
18491,1073481610228.8,8.3,small
18492,1073481610284.0,7.0,small
18493,1073481610332.1,21.6,big
18494,1073481610398.9,12.1,small
18495,1073481610466.7,11.1,small
18496,1073481610524.5,7.9,small
18497,1073481610587.2,21.2,big
18498,1073481610656.1,7.5,small
18499,1073481610717.8,25.9,big
18500,1073481610790.9,8.7,small
18501,1073481610851.0,16.2,big
18502,1073481610913.3,8.6,small
18503,1073481610985.6,8.2,small
18504,1073481611040.4,7.6,small
18505,1073481611095.2,20.2,big
18506,1073481611163.5,7.3,small
18507,1073481611207.0,30.5,big
18508,1073481611281.6,11.2,small
18509,1073481611343.1,13.4,small
18510,1073481611403.1,7.5,small
18511,1073481611471.1,7.4,small
18512,1073481611525.4,8.8,small
18513,1073481611848.4,8.6,small
18514,1073481611883.9,9.3,small
18515,1073481611938.0,8.0,small
18516,1073481611972.2,9.3,small
18517,1073481612027.1,8.1,small
18518,1073481612061.4,8.3,small
18519,1073481612119.9,7.6,small
18520,1073481612177.6,20.8,big
18521,1073481612245.4,9.2,small
18522,1073481612301.3,22.1,big
18523,1073481612370.3,8.3,small
18524,1073481612433.7,11.3,small
18525,1073481612492.3,8.6,small
18526,1073481612551.8,14.7,small
18527,1073481612614.1,8.5,small
18528,1073481612669.0,18.9,big
18529,1073481612735.4,8.0,small
18530,1073481612803.2,8.6,small
18531,1073481612859.0,6.6,small
18532,1073481612926.4,7.5,small
18533,1073481612981.3,7.7,small
18534,1073481613045.0,8.5,small
18535,1073481613100.0,7.7,small
18536,1073481613158.6,26.3,big
18537,1073481613232.2,9.0,small
18538,1073481613293.0,13.5,small
18539,1073481613353.6,8.4,small
18540,1073481613419.1,8.0,small
18541,1073481613473.4,10.0,small
18542,1073481613539.5,15.4,big
18543,1073481613602.5,7.5,small
18544,1073481613650.8,36.6,big
18545,1073481613731.7,10.7,small
18546,1073481613788.6,19.8,big
18547,1073481613855.3,7.4,small
18548,1073481613920.5,9.0,small
18549,1073481613977.2,7.3,small
18550,1073481614036.0,13.7,small
18551,1073481614096.2,8.4,small
18552,1073481614156.3,12.0,small
18553,1073481614214.0,8.3,small
18554,1073481614261.0,26.2,big
18555,1073481614332.8,10.5,small
18556,1073481614399.4,12.0,small
18557,1073481614457.2,9.2,small
18558,1073481614503.9,26.4,big
18559,1073481614573.8,11.2,small
18560,1073481614630.0,24.0,big
18561,1073481614702.0,9.0,small
18562,1073481614746.6,37.9,big
18563,1073481614828.1,10.5,small
18564,1073481614881.2,26.6,big
18565,1073481614954.9,8.9,small
18566,1073481615014.6,26.6,big
